sample,fastq_1,fastq_2,antibody,control
rb_cr119_s2_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135150_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135150_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr119_s2_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135151_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135151_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr120_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135152_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135152_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr120_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135153_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135153_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr120_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135154_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135154_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr120_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135155_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135155_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr122_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135156_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135156_2.fastq.gz,IgG,
rb_cr122_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135157_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135157_2.fastq.gz,IgG,
rb_cr122_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135158_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135158_2.fastq.gz,IgG,
rb_cr122_s3_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135159_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135159_2.fastq.gz,IgG,
rb_cr121_s4_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135160_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135160_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr121_s4_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135161_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135161_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr121_s4_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135162_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135162_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr121_s4_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135163_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135163_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
